duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,Predicted,Timestamp
-0.26249311505718326,-0.23799268478182747,-0.21731815416104483,-0.21597006623787407,-0.19781194065759095,-0.41746322960637183,-0.4322003658455398,-0.3159349930540325,-0.31116861509312066,-0.15245886896697738,-0.06651687545587126,-0.08526337376070225,-0.41432431467134195,-0.352772217992664,-0.38085719841083066,-0.3253093998759418,-0.3818127519279168,-0.4270202381628257,-0.2795987376222395,-0.3155825805946287,-0.368955598500659,-0.41140523152250813,-0.26961070144947896,VOIP,1763655093.471951
-0.2646512543555994,-0.24342479327790348,-0.2231665600330378,-0.21600792265292965,-0.19780970907755965,-0.1645683243897383,-0.13468839924779127,-0.3003963250685557,-0.2954403505468612,-0.1553221906827111,-0.06720192385637559,-0.08526191710085007,-0.1913330293337252,-0.33442297169560853,-0.32508016504051335,-0.23866477186063828,-0.18115541145828754,-0.18463948085448706,0.09809164510571006,-0.2614295878902027,-0.2491460051596024,-0.18771448260688367,0.12582889568973327,VPN-CHAT,1763655094.471951
-0.6229510368203808,-0.6127761528615241,-0.6075978809823651,-0.21600749124079227,-0.19781217556075212,-0.4179596153405774,-0.4331395119584196,-0.31769248526393556,-0.3131471517359884,-0.05927884844176199,0.1874138240639368,-0.08526628708040665,-0.41436145623626874,-0.3549576869101174,-0.38125219258520304,-0.3253093998759418,-0.3818127519279168,-0.4270202381628257,-0.2795987376222395,-0.3155825805946287,-0.368955598500659,-0.41140523152250813,-0.26961070144947896,BROWSING,1763655095.471951
-0.2713249665357087,-0.24892309289707368,-0.22638885844283801,-0.21600770694686097,-0.19781111849652677,-0.21632589570403768,-0.1938281945822199,-0.29127931266371654,-0.29137146787577634,-0.15541224234870002,-0.06746257183460326,-0.08526337376070225,-0.2329332792752326,-0.327355776583808,-0.3067237132866731,-0.20241685510142315,-0.20773263205319634,-0.2343569781646323,-0.1023230949105505,-0.1921293230699247,-0.20415468113911167,-0.2292584878550627,-0.120253027685928,BROWSING,1763655096.471951
-0.34334810643575037,-0.3226697894600502,-0.3050267374980907,-0.2160070598286549,-0.19781029633546263,0.016488800042648827,0.07769474609408704,-0.28967814586212565,-0.28748308555821805,-0.15544010257455682,-0.06740370554919568,-0.08525754712129348,-0.024532747877153968,-0.3240025386711548,-0.25372470225913657,0.1711926768807633,0.10453845258366787,0.02479925327967433,-0.2795987376222395,0.11157020833139616,0.04811474056689772,-0.02113971976356121,-0.26961070144947896,VPN-BROWSING,1763655097.471951
-0.3354478478112534,-0.3144601128284647,-0.29646739348702345,-0.216008030505964,-0.19781147085126857,-0.2817259340005034,-0.2729992383717398,-0.29371126290516897,-0.2936795020585229,-0.1553824439582833,-0.06741739813180804,-0.08526337376070225,-0.2927900095743949,-0.3301359488135247,-0.3288235316631431,-0.2637682808252747,-0.2986340340543873,-0.3002793632281464,-0.17752992031025275,-0.2617616131543842,-0.2914264792806579,-0.2890342901923967,-0.16369104649222135,VPN-BROWSING,1763655098.471951
2.2697660685959824,2.3939794942122905,2.5233047284935886,-0.21600598129831142,-0.19780912181965668,0.02656186257855844,0.10068894456928269,-0.2715885407688581,-0.26058561500589067,-0.1555504625814457,-0.0674995776445429,-0.08525463380158908,-0.014479185405699814,-0.2974830768120354,-0.2712187261661574,-0.27153832047981463,-0.2104424390882042,0.05823205890540499,0.13579505762894648,-0.26232777317801387,-0.23162737913029283,-0.011099749987796616,0.05711083718752923,VPN-BROWSING,1763655099.471951
2.2770834932673476,2.400607783536861,2.5311714338562554,-0.11254040838910166,-0.08608013458684816,-0.37668280026484613,-0.3844598968340628,-0.22519431990950836,-0.21154137845966342,-0.155612508675636,-0.06756909072249542,-0.02941357836762235,-0.37867985873249294,-0.24195939282849838,-0.3278186890830685,-0.3253093998759418,-0.3818127519279168,-0.4270202381628257,-0.2795987376222395,-0.3155825805946287,-0.368955598500659,-0.41140523152250813,-0.26961070144947896,VPN-VOIP,1763655100.471951
-0.26253087145823145,-0.23805266494162866,-0.21689307669518948,-0.2160036085315558,-0.19781194065759095,-0.24861242830044622,-0.23401804645218166,-0.29285105514840787,-0.29144783209262537,-0.1554042497167473,-0.06735206471958878,-0.08526337376070225,-0.2619752990666878,-0.3281779113367262,-0.3257430846579281,-0.1536969349370681,-0.0885808145696788,-0.03652776193466753,0.38824530740116575,-0.19104907611178532,-0.22632737652980725,-0.2582612420291453,-0.15598812922020586,BROWSING,1763655101.471951
-0.26282516650671184,-0.23833781153395475,-0.21732713095224923,-0.21599681379039198,-0.19781170575442975,-0.417533007107688,-0.4331508083278775,-0.3159343136370662,-0.3111686610566537,-0.15245799835626778,-0.06651564146280185,-0.08526046044099787,-0.41444276508191086,-0.35277282857186615,-0.38068449519838987,-0.3253093998759418,-0.3818127519279168,-0.4270202381628257,-0.2795987376222395,-0.3155825805946287,-0.368955598500659,-0.41140523152250813,-0.26961070144947896,VOIP,1763655102.471951
2.4133119053490972,2.543178417858507,-0.6095439701084976,-0.2159808515413087,-0.19781205810917155,5.046558803031244,-0.4321696232145036,1.1861893791882607,-0.3109844630767111,-0.15567312960121119,-0.06759115330970343,-0.08526483042055445,4.500499850687908,1.6100018277181163,3.527231550285487,5.030365598793329,4.859040744964159,4.4466720735327945,-0.2795987376222395,5.05760548036045,4.896575566716578,4.497774909049756,-0.26961070144947896,BROWSING,1763655103.471951
-0.35580971879773354,-0.33684102751985345,-0.31784247986337794,-0.2092718535397895,-0.19105823987026932,0.06527626348803306,0.13894624037481024,0.21730087448459318,0.27817415301956794,-0.15566055620799304,-0.06758792272038208,-0.05893570359209616,0.0203404988639561,0.1731608938783805,0.2158796580330046,0.15218258826369851,0.08357503859609956,0.007499973028228572,-0.2795987376222395,0.16061839888418342,0.09441114403845782,0.023672857101643043,-0.26961070144947896,CHAT,1763655104.471951
-0.6238745320483446,-0.6152360492377484,-0.6086967986397459,-0.2160068441225862,-0.19781158830284917,-0.4178890479052841,-0.4310990987773801,-0.3170170435075831,-0.3120836619215302,-0.15029700008363764,-0.06256428072331265,-0.08525900378114568,-0.412786077616796,-0.3536380192979552,-0.37979248822494627,-0.3253093998759418,-0.3818127519279168,-0.4270202381628257,-0.2795987376222395,-0.3155825805946287,-0.368955598500659,-0.41140523152250813,-0.26961070144947896,BROWSING,1763655105.471951
2.297284875158933,2.419217274562375,2.550590820659423,-0.2159977844677011,-0.1978105312386238,0.8894147329448464,1.1106850098021215,0.5707844262521736,0.6624031821538828,-0.15566989518235744,-0.06758639761647882,-0.0852458938424759,0.7615696184379296,0.6950093591826585,0.9173711720175971,0.9556283518945148,0.8759920873261815,0.7486165698445008,-0.2567442847299581,0.9598242202035245,0.8821346063549564,0.7638998143190172,-0.2466738468379495,VPN-BROWSING,1763655106.471951
-0.2625508960094334,-0.23835299670543444,-0.2173636189682624,-0.21597891018669046,-0.19781182320601035,-0.4175219919172286,-0.4331688103047762,-0.315932027938336,-0.31116625837502554,-0.15246451494101257,-0.06652412551501431,-0.08526483042055445,-0.4143713632849368,-0.35276824156833864,-0.3806486453741135,-0.3253093998759418,-0.3818127519279168,-0.4270202381628257,-0.2795987376222395,-0.3155825805946287,-0.368955598500659,-0.41140523152250813,-0.26961070144947896,VOIP,1763655107.471951
-0.6283360801055407,-0.6182415724015471,-0.6128504655393295,-0.21600080435266278,-0.19781229301233272,-0.41911884345206535,-0.43443771755895555,-0.3177728264219216,-0.3131938446042463,0.7360852731671047,0.03521409716497788,-0.08516577755060507,-0.41532386088835216,-0.3550169220139271,-0.3814895743761898,-0.3253093998759418,-0.3818127519279168,-0.4270202381628257,-0.2795987376222395,-0.3155825805946287,-0.368955598500659,-0.41140523152250813,-0.26961070144947896,MAIL,1763655108.471951
2.9729992821839226,3.12490479444227,2.123788358764829,-0.216005226327071,-0.1978047761111747,1.5024328584368127,0.2761355408634896,-0.190680998586073,-0.1628974142564562,-0.1556381126934798,-0.06757753940740274,-0.08525463380158908,1.3129173619072794,-0.16740283485015128,0.05969553526705411,-0.23195009191023355,-0.055989150413804645,1.2841909903821365,1.2041066174923363,-0.2530377528801974,-0.08290430988143783,1.3145021203260363,1.2847212366827865,VPN-BROWSING,1763655109.471951
